Name,Roaster,Price,Quantity,Roast_Level,Tasting_Notes,Desc,URL
Venkids Valley Estate (Washed) – Coorg  Medium     Whole Beans,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Aeropress,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Channi,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Chemex,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Cold Brew,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Espresso,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     French Press,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Moka Pot,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     Pour Over,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Venkids Valley Estate (Washed) – Coorg  Medium     South Indian Filter,bloomcoffeeroasters,600.0,250 gms,Dark Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Whole Beans,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Aeropress,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Channi,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Chemex,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Cold Brew,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Espresso,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    French Press,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Moka Pot,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Pour Over,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    South Indian Filter,bloomcoffeeroasters,2000.0,1kg,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Whole Beans,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Aeropress,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Channi,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Chemex,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Cold Brew,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Espresso,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    French Press,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Moka Pot,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    Pour Over,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Papakuchi Coffee (Washed)  Coorg ()    South Indian Filter,bloomcoffeeroasters,650.0,250 gms,Light Roast,,,
Salawara Estate – Chikmaglur      Whole Beans,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Aeropress,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Channi,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Chemex,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Cold Brew,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Espresso,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      French Press,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Moka Pot,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Pour Over,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      South Indian Filter,bloomcoffeeroasters,2000.0,1kg,Dark Roast,,,
Salawara Estate – Chikmaglur      Whole Beans,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Aeropress,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Channi,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Chemex,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Cold Brew,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Espresso,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      French Press,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Moka Pot,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      Pour Over,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Salawara Estate – Chikmaglur      South Indian Filter,bloomcoffeeroasters,650.0,250 gms,Dark Roast,,,
Vin Van Gogh      Whole Beans,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Aeropress,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Channi,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Chemex,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Cold Brew,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Espresso,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      French Press,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Moka Pot,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Pour Over,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      South Indian Filter,bloomcoffeeroasters,2000.0,1Kg,Medium Roast,,,
Vin Van Gogh      Whole Beans,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Aeropress,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Channi,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Chemex,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Cold Brew,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Espresso,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      French Press,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Moka Pot,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      Pour Over,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Vin Van Gogh      South Indian Filter,bloomcoffeeroasters,600.0,250 gms,Medium Roast,,,
Kenny Ji  The Cold Brew Blend    Whole Beans,bloomcoffeeroasters,2300.0,1kg,,,,
Kenny Ji  The Cold Brew Blend    Channi,bloomcoffeeroasters,2300.0,1kg,,,,
Kenny Ji  The Cold Brew Blend    Cold Brew,bloomcoffeeroasters,2300.0,1kg,,,,
Kenny Ji  The Cold Brew Blend    Whole Beans,bloomcoffeeroasters,575.0,250gms,,,,
Kenny Ji  The Cold Brew Blend    Channi,bloomcoffeeroasters,575.0,250gms,,,,
Kenny Ji  The Cold Brew Blend    Cold Brew,bloomcoffeeroasters,575.0,250gms,,,,
RoBusta Rhymes      Whole Beans,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Aeropress,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Channi,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Chemex,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Cold Brew,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      French Press,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Espresso,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Moka Pot,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Pour Over,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      South Indian Filter,bloomcoffeeroasters,1800.0,1 kg,Dark Roast,,,
RoBusta Rhymes      Whole Beans,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Aeropress,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Channi,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Chemex,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Cold Brew,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      French Press,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Espresso,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Moka Pot,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      Pour Over,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
RoBusta Rhymes      South Indian Filter,bloomcoffeeroasters,500.0,250 gms,Dark Roast,,,
Satchmo      Whole Beans,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Aeropress,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Channi,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Chemex,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Cold Brew,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Espresso,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      French Press,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Moka Pot,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Pour Over,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      South Indian Filter,bloomcoffeeroasters,2100.0,1 Kg,Dark Roast,,,
Satchmo      Whole Beans,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Aeropress,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Channi,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Chemex,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Cold Brew,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Espresso,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      French Press,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Moka Pot,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      Pour Over,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
Satchmo      South Indian Filter,bloomcoffeeroasters,525.0,250 gms,Dark Roast,,,
BCR Custom Sample Pack of 3,Bloom Coffee Roasters,600.0,,,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Whole Beans,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Aeropress,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Channi,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Chemex,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Espresso,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      French Press,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Moka Pot,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Pour Over,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      South Indian Filter,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Cold Brew,bloomcoffeeroasters,2100.0,1 Kg,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Whole Beans,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Aeropress,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Channi,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Chemex,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Espresso,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      French Press,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Moka Pot,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      Pour Over,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
Balanoor Plantations  Kents (Washed)  Chikmagalur      South Indian Filter,bloomcoffeeroasters,650.0,250 gms,Medium Roast,,,
